,Unnamed: 0,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,27811,ALHRES08DEL02,32.0,4.1,13-02-2022,17:15,17:30,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,33,20002.52025705942
1,43475,MYSRES17DEL01,32.0,4.9,03-03-2022,08:35,08:45,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,20002.52025705942
2,11902,DEHRES01DEL01,23.0,4.5,14-02-2022,21:50,22:05,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,20002.520257037824
3,36731,JAPRES20DEL03,22.0,4.5,13-03-2022,22:45,22:50,Stormy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25,20002.520257032207
4,18188,MYSRES04DEL02,29.0,4.9,14-03-2022,21:20,21:35,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.52025703129
5,28498,LUDHRES08DEL02,36.0,4.7,18-02-2022,23:25,23:30,Fog,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.520257028355
6,4740,MYSRES01DEL01,20.0,3.6,03-03-2022,11:15,11:20,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,48,20002.520257027798
7,6868,BANGRES14DEL01,34.0,4.8,21-03-2022,16:35,16:50,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520257023803
8,43338,JAPRES05DEL01,27.0,4.7,27-03-2022,20:50,20:55,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,24,20002.520257019383
9,35602,MUMRES14DEL01,35.0,4.7,02-04-2022,18:15,18:25,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,18,20002.52025699965
10,41006,INDORES07DEL02,24.0,4.2,06-04-2022,19:55,0.833333333,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,39,20002.520256255022
11,13443,COIMBRES07DEL01,32.0,4.9,07-03-2022,11:25,11:30,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.520256238895
12,18469,MUMRES08DEL01,31.0,4.5,27-03-2022,21:30,21:40,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,26,20002.520256217802
13,30619,MUMRES08DEL01,35.0,4.8,03-04-2022,15:45,15:55,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,18,20002.520256200485
14,3707,INDORES17DEL02,24.0,4.9,04-03-2022,22:20,22:25,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,19,20002.52025619003
15,2624,DEHRES06DEL03,31.0,4.7,15-02-2022,22:20,22:35,Cloudy,Low,1,Buffet,scooter,0.0,No,Metropolitian,19,20002.520256189728
16,36094,SURRES14DEL01,35.0,4.4,31-03-2022,17:30,17:40,Sandstorms,Medium,1,Buffet,scooter,0.0,No,Metropolitian,33,20002.520256177275
17,3375,MUMRES19DEL01,33.0,4.7,06-04-2022,18:55,0.791666667,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,39,20002.520251719383
18,43958,BANGRES20DEL01,24.0,4.9,09-03-2022,08:50,0.375,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Urban,10,20002.5202516745
19,19185,HYDRES12DEL03,33.0,4.8,12-03-2022,17:50,18:05,Cloudy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,37,20002.5202516745
20,27275,ALHRES15DEL01,34.0,5.0,11-02-2022,11:40,11:45,Stormy,High,0,Buffet,motorcycle,2.0,No,Metropolitian,37,20002.5202516745
21,43150,HYDRES15DEL02,27.0,4.7,12-03-2022,23:30,23:45,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251666898
22,13591,INDORES010DEL01,24.0,4.6,20-03-2022,23:35,23:40,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,26,20002.52025139077
23,25024,MYSRES12DEL01,34.0,4.8,25-03-2022,20:25,20:30,Sunny,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,44,20002.52025139077
24,34259,JAPRES05DEL03,25.0,4.6,28-03-2022,17:20,17:35,Stormy,Medium,2,Meal,motorcycle,1.0,No,Urban,24,20002.520251342885
25,5426,PUNERES18DEL02,29.0,5.0,02-03-2022,20:35,20:50,Sunny,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,23,20002.520251342885
26,26316,AGRRES03DEL03,30.0,4.7,13-02-2022,19:10,19:15,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520251342885
27,18480,LUDHRES04DEL02,24.0,4.2,11-02-2022,19:10,19:15,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,50,20002.520251332953
28,23045,RANCHIRES07DEL03,25.0,4.3,04-04-2022,20:40,20:50,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520251332953
29,18341,SURRES20DEL02,31.0,4.8,06-04-2022,21:55,22:05,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,20002.520251332742
30,21978,CHENRES15DEL02,32.0,4.7,06-03-2022,22:35,22:45,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,28,20002.520251332742
31,34037,CHENRES14DEL01,34.0,4.0,06-04-2022,23:55,1,Cloudy,Low,0,Meal,motorcycle,2.0,No,Metropolitian,42,20002.520251332055
32,1703,PUNERES08DEL01,31.0,4.6,04-03-2022,20:30,20:40,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Semi-Urban,52,20002.520251332055
33,14049,PUNERES12DEL03,35.0,4.2,01-04-2022,20:25,20:30,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,35,20002.520251332055
34,40883,AGRRES17DEL01,26.0,4.7,18-02-2022,17:35,17:45,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,36,20002.520251332055
35,12917,JAPRES02DEL03,29.0,4.9,19-03-2022,22:10,22:25,Stormy,Low,2,Meal,motorcycle,0.0,No,Urban,15,20002.520251329926
36,6496,BANGRES18DEL01,23.0,4.8,31-03-2022,0.875,21:10,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,44,20002.520251329177
37,11808,SURRES20DEL01,33.0,5.0,28-03-2022,09:55,10:10,Sunny,Low,2,Meal,scooter,0.0,No,Urban,11,20002.520251329177
38,38996,AURGRES05DEL01,24.0,4.6,14-02-2022,17:20,17:25,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,26,20002.520251327653
39,28076,SURRES05DEL03,30.0,4.8,13-03-2022,19:35,19:45,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.520251327653
40,42726,KOCRES05DEL02,35.0,4.7,11-02-2022,21:15,21:20,Sandstorms,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,32,20002.520251320853
41,842,INDORES05DEL01,39.0,4.7,09-03-2022,08:25,08:30,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,16,20002.520251320853
42,26964,CHENRES17DEL03,21.0,4.9,12-03-2022,22:55,0.958333333,Cloudy,Low,2,Buffet,motorcycle,0.0,No,Urban,22,20002.520251320853
43,18010,INDORES17DEL02,30.0,4.6,05-04-2022,11:25,11:40,Sandstorms,High,2,Snack,scooter,1.0,No,Urban,28,20002.520251320853
44,12889,JAPRES09DEL03,30.0,5.0,04-04-2022,0.875,21:05,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520251320853
45,13004,JAPRES20DEL02,32.0,4.8,01-04-2022,0.416666667,10:05,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,19,20002.520251320853
46,28468,VADRES20DEL01,,,13-03-2022,,13:45,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,20,20002.520251320722
47,35137,VADRES01DEL01,34.0,3.6,25-03-2022,21:25,21:30,Stormy,Jam,1,Snack,motorcycle,1.0,Yes,Urban,41,20002.52025131765
48,29224,INDORES20DEL03,33.0,5.0,28-03-2022,20:40,20:55,Fog,Jam,0,Buffet,motorcycle,,No,Metropolitian,27,20002.52025131765
49,24630,BANGRES05DEL02,30.0,4.9,04-04-2022,18:10,18:20,Sandstorms,Medium,2,Meal,scooter,1.0,No,Urban,25,20002.52025131765
50,9086,SURRES08DEL03,20.0,4.9,20-03-2022,22:25,22:40,Stormy,Low,2,Buffet,scooter,1.0,No,,19,20002.52025131765
51,40022,INDORES02DEL01,23.0,4.8,30-03-2022,15:20,15:35,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520251317605
52,14603,KOCRES16DEL03,37.0,5.0,12-02-2022,23:35,23:45,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,17,20002.520251317605
53,11146,HYDRES11DEL01,21.0,4.8,11-03-2022,09:30,09:45,Fog,Low,1,Snack,scooter,0.0,No,Urban,13,20002.520251317605
54,44012,PUNERES16DEL01,29.0,4.8,21-03-2022,16:20,16:35,Fog,Medium,1,Meal,motorcycle,0.0,,Urban,10,20002.520251316964
55,37646,KNPRES08DEL03,37.0,5.0,16-02-2022,23:30,23:35,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.520251316815
56,41930,COIMBRES01DEL02,30.0,4.7,14-03-2022,22:15,22:20,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,27,20002.520251316815
57,9100,SURRES13DEL02,28.0,4.8,15-03-2022,20:50,20:55,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,28,20002.520251316815
